"visit_date","visitors_count","utm_source","utm_medium","utm_campaign","total_cost","leads_count","purchases_count","revenue"
2023-06-01,126,yandex,cpc,freemium,21654,126,26,1726717
2023-06-01,91,yandex,cpc,prof-frontend,57138,91,15,1430340
2023-06-01,81,yandex,cpc,prof-python,33026,81,12,954735
2023-06-01,66,vk,cpc,prof-python,2028,66,7,588004
2023-06-01,82,vk,cpc,freemium-frontend,3160,82,9,552181
2023-06-01,34,yandex,cpc,base-python,12524,34,8,547928
2023-06-01,50,vk,cpc,prof-java,3115,50,3,383918
2023-06-01,61,yandex,cpc,prof-java,29490,61,5,355987
2023-06-01,53,yandex,cpc,base-frontend,18061,53,4,322155
2023-06-01,56,vk,cpc,prof-data-analytics,1072,56,5,253444
2023-06-01,45,vk,cpc,freemium-python,980,45,3,249186
2023-06-01,23,yandex,cpc,prof-professions-brand,4818,23,4,230307
2023-06-01,17,yandex,cpc,prof-data-analytics,10086,17,2,220264
2023-06-01,10,yandex,cpc,dod-frontend,2871,10,3,203035
2023-06-01,26,yandex,cpc,base-java,19252,26,2,168000
